symbol,address,type,gauges,fees,bribes,algebra_pool
ankrBNB/ankrETH,0x44d1f00e75fd074f6016bb1dc326dccd5d04451b,Volatile,0xD12C7026fA2d738D931A72b2d647a3cb2e7B1280,0xA2589E771B0de80Ae79EE72617f9ca1dba3180aC,0x891Ef7a57b5dd7DEe99A943591c396b69e1f29d8,0
USDT/TON,0x48821e0ed39e50aebeb1b079132b4c6604934f62,Volatile,0x65ca16EA167944C4A1fE2db7860AED5c3b2a1546,0xCE629312866eCF2d4942a951798cA5E6e58B71C3,0xf15312C0dFd192B3b7e9E38CB9147fA7a93Be516,0
fBOMB/BNB,0xccdedac1973b6d2542fb1b7ece843b81a9ee7070,Volatile,0xB587A045eCe29F98d398010b23550a78f36d2771,0xA7cb85cc0985cd8e4Ae85134eF3F9F5e5A589b8f,0xAE6B5316b84fFb5341CE1e1495d685e329bFEE01,0
DJED/USDC,0x80551245c562380140668b7df20a7e9c773d21bd,Stable,0xE30Ee861202664395ea440cDF08D6A4e9C09D7E9,0x6C57F857dE975Fed592c20Ca6D8e849aFAcd031F,0xBaac62cDF23d2da1f06bF661bE57364667F8dc35,0
BTCB/FRAX,0x3c5e16a6ff3bb4279b520d208c86338f3a404608,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
ankrBNB/ANKR,0x31257f40e65585cc45fdabeb12002c25bc95ee80,Wide,0x7E4F069107cf0EE090AF5e4e075dC6Fcc644C61D,0xCE09F020EAE72414B9FE180f55AcF3FDc5138A40,0x8FC6CC3956A8EFbeEc361750f2C6ca9FFa9423f3,0
ETS Alpha/USD+,0x92573046bd4aba37d875eb45a0a1182ac63d5580,Stable,0x24ecd1D83Fe90821a5b064A3EB1535Af543eef98,0x82EF03111E627465aFf0849E70b3E03a0695990f,0xA5f7C96B4c92f0143D8617778F8592D54252dD4B,0
BTCB/THE,0x1d6c1de20424831fd6f843f1d39bf96265b3899d,Volatile,0xAb75B2D521E698794A85eC92Cb34C771d8f48C5F,0xe3C19D7586d8C073831942233E8E62D85ea3Cb2E,0x39693783992446Fa818ff8284df4eB1bF8c713D4,0
USDT/SEC,0x34915f659f820bee9247956cab4277a632cfa230,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
DOGE/BNB,0x37487428a2cff3e21f9d9452b4f6759cc23e4805,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
MIX/MATIC,0x4e2bea8412d58c45f4c723df7223c3b21b9a309b,Volatile,0xe072405Ed4F83dB9f86519dE164Ecd6cBaEf42E6,0xBEc5190c358a1b5539c287dc75614aE5076a339f,0xcC3b7B3b84E68259a296D08Ab6488d2B4edCA943,0
sfrxETH/FXS,0x425198ea58ab9cf9001f59c8aeb8c413a6dbe1b1,Volatile,0x3e8F8b80cFE96BFED4CCdf56416a5A979321221A,0x7d8009fA624a90aC191b825B986626E90Af2Ab56,0xC74cd552a683353F724d573Ba803aC160F0FD75a,0
jBRL/BRZ,0xa0695f78af837f570bcc50f53e58cda300798b65,Stable,0x5D920774510db19feE38851fd1Ba40d85a107B99,0xad95f25D1b0c03Bbb66923F8dc9809133C2Effed,0xFCa9fDD219C2E309EF88AeC7387152bF8e505246,0
XCAD(old)/USDT,0x46c69a989dc56747f007acfa4d6bc7c9fa8137bf,Volatile,0xD62DD882aeE1117fd0D6211342a89336c518Ffc0,0xdD1e30A1Db778f2E7Ff1AC794A7D9387461332CE,0x78d70709B4C793785A0241FfF01B650E0570F61f,0
BNB/PLAY,0xb8a85b80a12931fe2a1f5db9295fbdae03616e9b,Volatile,0xD66207F31737b77070f3A593224FDebAecE467Bd,0x56DFd93645BCc1F34838504eAa5b5623F83ea3D2,0x2c65AcF78e9D5378eC771711C31ab7af6eAFAD63,0
MPX/BNB,0x51bfc6e47c96d2b8c564b0ddd2c44fc03707cdc7,Volatile,0x0d739cE843d0584aAE800f54685d1fa69cEC1190,0x237557d5eA86841a634Ab4775A2Bd5e3C3f8c8C6,0x8c1fB9CB10f7bF5b73A29c68824F14003A649457,0
MIX/BNB,0x0f7d50a2728de6f94b3ac8013031f527572cc9f1,Volatile,0x4BE31cd6cCc28EeC41dD9cB8A74d788C83B01db0,0xFA6f38d5c77460e1A0A9CA3fC4504ACCe3C8e779,0xC2384e084922fE494dC48d948cF0A0e5096dC369,0
